ma_tin,tinh_thanh,loai_bat_dong_san,dien_tich_m2,so_phong_ngu,huong_nha,thang_dang_tin,nam_dang_tin,gia_ban_ty_vnd
BDS_4782,Hà Nội,Chung cư,53,5,Tây Nam,4,2024,3.04
BDS_4783,TP. Hồ Chí Minh,Nhà mặt phố,104,2,Tây Nam,5,2024,14.33
BDS_4784,Hà Nội,Chung cư,223,4,Tây Bắc,3,2024,11.37
BDS_4785,TP. Hồ Chí Minh,Chung cư,171,4,Đông Nam,2,2026,9.74
BDS_4786,Hà Nội,Nhà mặt phố,69,3,Đông Nam,12,2025,8.84
BDS_4787,Đà Nẵng,Đất nền,268,3,Tây Nam,3,2024,16.07
BDS_4788,Thái Nguyên,Chung cư,281,1,Tây Bắc,3,2026,8.68
BDS_4789,TP. Hồ Chí Minh,Biệt thự,135,2,Chính Nam,1,2025,44.91
BDS_4790,Hà Nội,Chung cư,107,1,Tây Nam,4,2026,6.14
BDS_4791,Hà Nội,Chung cư,267,5,Chính Đông,3,2026,22.51
BDS_4792,Bình Dương,Đất nền,158,1,Chính Đông,10,2025,13.22
BDS_4793,Hà Nội,Nhà mặt phố,52,1,Chính Đông,3,2025,8.75
BDS_4794,Hà Nội,Biệt thự,286,5,Chính Nam,3,2026,66.15
BDS_4795,Hà Nội,Nhà mặt phố,73,3,Tây Bắc,2,2024,10.36
BDS_4796,Hà Nội,Biệt thự,204,1,Chính Đông,2,2025,29.55
BDS_4797,Hà Nội,Chung cư,57,2,Tây Bắc,7,2025,4.15
BDS_4798,TP. Hồ Chí Minh,Nhà mặt phố,156,2,Tây Bắc,11,2025,15.64
BDS_4799,Hà Nội,Biệt thự,151,1,Đông Nam,1,2025,19.77
BDS_4800,TP. Hồ Chí Minh,Chung cư,116,5,Tây Bắc,3,2026,6.81
BDS_4801,Hà Nội,Chung cư,57,1,Tây Bắc,4,2024,2.82
BDS_4802,Hà Nội,Chung cư,177,3,Tây Nam,12,2025,12.66
BDS_4803,Thái Nguyên,Đất nền,209,2,Tây Bắc,3,2026,6.35
BDS_4804,Hà Nội,Nhà mặt phố,46,2,Đông Nam,12,2024,7.76
BDS_4805,Đà Nẵng,Nhà mặt phố,221,5,Chính Đông,3,2026,31.63
BDS_4806,TP. Hồ Chí Minh,Đất nền,162,2,Chính Nam,1,2024,23.3
BDS_4807,Hà Nội,Đất nền,217,1,Tây Nam,10,2025,21.06
BDS_4808,Bình Dương,Nhà mặt phố,214,4,Chính Nam,3,2026,18.61
BDS_4809,Hà Nội,Đất nền,226,1,Đông Nam,10,2025,32.21
BDS_4810,Đà Nẵng,Nhà mặt phố,79,4,Đông Nam,5,2024,4.69
BDS_4811,Hà Nội,Nhà mặt phố,158,4,Tây Nam,8,2024,27.6
BDS_4812,Đà Nẵng,Chung cư,42,4,Chính Nam,1,2024,0.94
BDS_4813,Hà Nội,Chung cư,164,1,Chính Đông,1,2024,6.79
BDS_4814,TP. Hồ Chí Minh,Đất nền,252,3,Chính Đông,8,2024,34.5
BDS_4815,TP. Hồ Chí Minh,Chung cư,189,2,Tây Bắc,9,2024,6.38
BDS_4816,Bình Dương,Chung cư,223,1,Tây Bắc,3,2026,7.4
BDS_4817,Thái Nguyên,Nhà mặt phố,328,4,Đông Nam,2,2026,31.15
BDS_4818,Đà Nẵng,Nhà mặt phố,268,1,Chính Đông,9,2025,33.14
BDS_4819,Thái Nguyên,Chung cư,194,5,Đông Nam,3,2026,4.88
BDS_4820,Hà Nội,Đất nền,334,5,Chính Đông,3,2025,25.08
BDS_4821,Hà Nội,Nhà mặt phố,97,1,Tây Nam,3,2026,8.83
BDS_4822,Hà Nội,Đất nền,283,4,Đông Nam,3,2026,22.06
BDS_4823,Hà Nội,Nhà mặt phố,332,2,Đông Nam,7,2025,27.7
BDS_4824,Hà Nội,Nhà mặt phố,234,2,Đông Nam,3,2026,48.66
BDS_4825,TP. Hồ Chí Minh,Chung cư,221,5,Đông Nam,3,2026,17.58
BDS_4826,Hà Nội,Chung cư,289,4,Đông Nam,1,2025,10.06
BDS_4827,TP. Hồ Chí Minh,Chung cư,265,1,Tây Bắc,5,2024,17.28
BDS_4828,Hà Nội,Chung cư,83,5,Chính Nam,1,2024,2.99
BDS_4829,Hà Nội,Biệt thự,315,2,Tây Bắc,2,2025,62.28
BDS_4830,TP. Hồ Chí Minh,Đất nền,269,1,Chính Nam,4,2025,40.36
BDS_4831,TP. Hồ Chí Minh,Nhà mặt phố,330,2,Chính Nam,4,2026,61.08
BDS_4832,TP. Hồ Chí Minh,Chung cư,46,4,Tây Nam,1,2024,1.75
BDS_4833,TP. Hồ Chí Minh,Chung cư,237,5,Tây Nam,1,2025,19.74
BDS_4834,Hà Nội,Chung cư,204,3,Tây Bắc,2,2024,12.98
BDS_4835,TP. Hồ Chí Minh,Biệt thự,248,4,Chính Nam,12,2024,65.47
BDS_4836,Hà Nội,Nhà mặt phố,42,5,Chính Đông,2,2025,4.44
BDS_4837,Hà Nội,Đất nền,248,3,Chính Nam,12,2024,20.5
BDS_4838,TP. Hồ Chí Minh,Nhà mặt phố,52,4,Chính Đông,12,2024,6.64
BDS_4839,Hà Nội,Nhà mặt phố,289,4,Đông Nam,3,2025,40.96
BDS_4840,Hà Nội,Nhà mặt phố,303,1,Chính Đông,12,2024,41.32
BDS_4841,Bình Dương,Chung cư,320,2,Tây Nam,8,2024,7.7
BDS_4842,Bình Dương,Nhà mặt phố,128,1,Chính Đông,10,2024,10.06
BDS_4843,Hà Nội,Đất nền,104,1,Đông Nam,6,2024,12.45
BDS_4844,Hà Nội,Nhà mặt phố,233,5,Tây Bắc,5,2024,25.05
BDS_4845,Hà Nội,Nhà mặt phố,301,2,Tây Nam,5,2026,61.47
BDS_4846,Hà Nội,Nhà mặt phố,297,3,Tây Bắc,4,2024,30.39
BDS_4847,Bình Dương,Chung cư,346,5,Đông Nam,1,2025,11.77
BDS_4848,Hà Nội,Nhà mặt phố,344,4,Tây Bắc,3,2025,36.04
BDS_4849,TP. Hồ Chí Minh,Chung cư,101,1,Đông Nam,3,2026,5.74
BDS_4850,Hà Nội,Biệt thự,94,2,Chính Nam,8,2024,24.79
BDS_4851,Bình Dương,Chung cư,100,2,Chính Nam,4,2025,4.15
BDS_4852,Hà Nội,Nhà mặt phố,72,5,Đông Nam,6,2025,7.78
BDS_4853,TP. Hồ Chí Minh,Chung cư,68,5,Chính Nam,9,2025,2.43
BDS_4854,Hà Nội,Chung cư,171,1,Đông Nam,2,2025,7.98
BDS_4855,TP. Hồ Chí Minh,Nhà mặt phố,319,2,Tây Bắc,3,2026,33.46
BDS_4856,Hà Nội,Biệt thự,265,4,Chính Nam,9,2025,58.41
BDS_4857,Hà Nội,Đất nền,311,5,Đông Nam,6,2025,24.73
BDS_4858,Bình Dương,Chung cư,65,4,Đông Nam,1,2025,3.17
BDS_4859,Thái Nguyên,Nhà mặt phố,191,2,Chính Đông,3,2025,10.06
BDS_4860,Thái Nguyên,Chung cư,182,1,Tây Nam,9,2025,4.6
BDS_4861,TP. Hồ Chí Minh,Nhà mặt phố,53,2,Đông Nam,3,2026,8.6
BDS_4862,Đà Nẵng,Chung cư,137,1,Chính Đông,9,2025,7.26
BDS_4863,Hà Nội,Đất nền,36,1,Chính Nam,12,2025,4.73
BDS_4864,Hà Nội,Chung cư,182,5,Tây Nam,3,2024,6.12
BDS_4865,Hà Nội,Chung cư,122,3,Tây Nam,11,2025,4.84
BDS_4866,TP. Hồ Chí Minh,Đất nền,316,4,Chính Đông,3,2026,38.62
BDS_4867,Hà Nội,Biệt thự,191,5,Chính Đông,12,2024,36.68
BDS_4868,Hà Nội,Chung cư,154,1,Tây Bắc,3,2026,11.71
BDS_4869,TP. Hồ Chí Minh,Chung cư,291,3,Tây Nam,7,2024,16.83
BDS_4870,Đà Nẵng,Đất nền,42,1,Chính Đông,5,2025,3.84
BDS_4871,Hà Nội,Nhà mặt phố,279,2,Tây Nam,12,2025,33.69
BDS_4872,Hà Nội,Biệt thự,197,2,Chính Nam,3,2025,59.71
BDS_4873,Hà Nội,Chung cư,170,5,Đông Nam,6,2024,6.95
BDS_4874,Hà Nội,Chung cư,135,5,Tây Nam,1,2025,6.98
BDS_4875,Hà Nội,Chung cư,338,1,Tây Nam,9,2025,20.43
BDS_4876,TP. Hồ Chí Minh,Nhà mặt phố,266,5,Tây Bắc,12,2024,38.28
BDS_4877,TP. Hồ Chí Minh,Đất nền,213,5,Đông Nam,7,2024,24.94
BDS_4878,TP. Hồ Chí Minh,Đất nền,329,2,Tây Nam,5,2024,39.83
BDS_4879,Hà Nội,Biệt thự,249,2,Đông Nam,3,2026,45.49
BDS_4880,Đà Nẵng,Chung cư,206,3,Chính Đông,12,2025,6.35
BDS_4881,Hà Nội,Đất nền,66,5,Chính Nam,3,2026,4.65
BDS_4882,TP. Hồ Chí Minh,Đất nền,47,2,Tây Bắc,10,2024,4.82
BDS_4883,Đà Nẵng,Đất nền,287,2,Đông Nam,9,2025,30.63
BDS_4884,Hà Nội,Nhà mặt phố,264,2,Tây Bắc,3,2024,25.94
BDS_4885,Hà Nội,Nhà mặt phố,226,3,Chính Nam,4,2026,40.93
BDS_4886,Thái Nguyên,Nhà mặt phố,41,5,Chính Đông,11,2024,1.68
BDS_4887,Hà Nội,Nhà mặt phố,45,4,Chính Nam,8,2025,8.35
BDS_4888,TP. Hồ Chí Minh,Chung cư,251,2,Tây Nam,2,2026,22.05
BDS_4889,Hà Nội,Nhà mặt phố,303,1,Đông Nam,6,2025,59.32
BDS_4890,TP. Hồ Chí Minh,Đất nền,56,1,Tây Nam,11,2025,6.43
BDS_4891,Hà Nội,Chung cư,277,4,Tây Nam,6,2024,16.64
BDS_4892,Hà Nội,Nhà mặt phố,248,2,Đông Nam,2,2024,30.08
BDS_4893,TP. Hồ Chí Minh,Nhà mặt phố,40,4,Tây Nam,8,2025,6.17
BDS_4894,Hà Nội,Đất nền,95,5,Tây Bắc,12,2025,11.38
BDS_4895,Hà Nội,Nhà mặt phố,54,1,Tây Nam,2,2025,9.79
BDS_4896,Hà Nội,Nhà mặt phố,318,2,Tây Nam,2,2024,57.73
BDS_4897,Hà Nội,Nhà mặt phố,320,5,Chính Đông,6,2024,45.02
BDS_4898,Hà Nội,Chung cư,245,5,Tây Nam,3,2026,15.31
BDS_4899,Hà Nội,Chung cư,349,5,Tây Bắc,3,2026,22.28
BDS_4900,Thái Nguyên,Chung cư,278,4,Chính Nam,6,2024,4.04
BDS_4901,Hà Nội,Chung cư,144,5,Chính Đông,11,2025,8.76
BDS_4902,TP. Hồ Chí Minh,Nhà mặt phố,182,3,Tây Nam,3,2026,30.96
BDS_4903,Hà Nội,Biệt thự,210,3,Tây Bắc,3,2026,29.34
BDS_4904,Hà Nội,Chung cư,218,4,Tây Bắc,1,2025,9.18
BDS_4905,Bình Dương,Biệt thự,191,4,Chính Đông,8,2025,19.93
BDS_4906,Hà Nội,Nhà mặt phố,172,1,Tây Nam,5,2024,21.52
BDS_4907,Bình Dương,Chung cư,185,2,Đông Nam,1,2024,7.41
BDS_4908,Hà Nội,Chung cư,338,4,Tây Nam,7,2025,17.56
BDS_4909,TP. Hồ Chí Minh,Đất nền,51,3,Tây Nam,9,2024,7.3
BDS_4910,TP. Hồ Chí Minh,Nhà mặt phố,37,2,Tây Bắc,7,2024,3.08
BDS_4911,Thái Nguyên,Chung cư,181,4,Chính Nam,9,2025,6.55
BDS_4912,TP. Hồ Chí Minh,Chung cư,297,5,Tây Nam,3,2026,21.24
BDS_4913,TP. Hồ Chí Minh,Đất nền,181,4,Tây Bắc,2,2025,14.8
BDS_4914,Hà Nội,Chung cư,158,3,Tây Bắc,8,2025,10.22
BDS_4915,Hà Nội,Đất nền,185,2,Tây Nam,1,2025,11.73
BDS_4916,Thái Nguyên,Chung cư,165,5,Chính Nam,3,2026,4.19
BDS_4917,Hà Nội,Nhà mặt phố,288,5,Tây Bắc,5,2025,28.87
BDS_4918,Hà Nội,Nhà mặt phố,110,3,Tây Bắc,4,2026,11.86
BDS_4919,TP. Hồ Chí Minh,Nhà mặt phố,145,5,Chính Nam,11,2025,26.85
BDS_4920,Hà Nội,Chung cư,144,3,Tây Bắc,5,2026,6.78
BDS_4921,Bình Dương,Chung cư,134,4,Chính Đông,1,2025,4.69
BDS_4922,TP. Hồ Chí Minh,Đất nền,63,3,Tây Bắc,3,2026,9.42
BDS_4923,TP. Hồ Chí Minh,Chung cư,177,3,Đông Nam,8,2025,8.05
BDS_4924,Thái Nguyên,Nhà mặt phố,176,4,Chính Đông,1,2026,9.97
BDS_4925,Hà Nội,Đất nền,141,1,Chính Đông,3,2024,9.18
BDS_4926,Hà Nội,Đất nền,147,5,Đông Nam,4,2025,13.36
BDS_4927,TP. Hồ Chí Minh,Chung cư,255,3,Chính Đông,3,2024,19.88
BDS_4928,Hà Nội,Nhà mặt phố,88,4,Đông Nam,8,2024,14.18
BDS_4929,TP. Hồ Chí Minh,Nhà mặt phố,230,3,Chính Nam,2,2024,19.73
BDS_4930,Thái Nguyên,Chung cư,195,3,Chính Nam,4,2025,5.96
BDS_4931,TP. Hồ Chí Minh,Chung cư,185,1,Chính Nam,3,2026,11.89
BDS_4932,Hà Nội,Chung cư,328,5,Đông Nam,2,2025,16.7
BDS_4933,Bình Dương,Nhà mặt phố,138,4,Chính Nam,7,2024,10.47
BDS_4934,TP. Hồ Chí Minh,Đất nền,43,2,Tây Nam,10,2024,4.27
BDS_4935,TP. Hồ Chí Minh,Đất nền,55,4,Tây Nam,1,2025,7.32
BDS_4936,Hà Nội,Đất nền,182,4,Chính Nam,5,2024,13.72
BDS_4937,Thái Nguyên,Nhà mặt phố,252,3,Tây Bắc,8,2025,23.17
BDS_4938,TP. Hồ Chí Minh,Biệt thự,214,5,Tây Bắc,2,2025,63.35
BDS_4939,TP. Hồ Chí Minh,Nhà mặt phố,154,1,Tây Nam,3,2026,16.86
BDS_4940,Đà Nẵng,Nhà mặt phố,183,3,Chính Nam,3,2025,15.06
BDS_4941,Hà Nội,Đất nền,223,3,Tây Nam,12,2024,26.28
BDS_4942,TP. Hồ Chí Minh,Chung cư,99,5,Chính Nam,10,2024,7.54
BDS_4943,Đà Nẵng,Chung cư,93,3,Chính Nam,4,2025,4.16
BDS_4944,Hà Nội,Đất nền,191,1,Chính Nam,11,2024,10.71
BDS_4945,TP. Hồ Chí Minh,Đất nền,340,4,Tây Bắc,4,2024,33.07
BDS_4946,Bình Dương,Chung cư,134,1,Chính Đông,3,2026,4.81
BDS_4947,TP. Hồ Chí Minh,Đất nền,261,1,Chính Đông,9,2024,32.66
BDS_4948,TP. Hồ Chí Minh,Nhà mặt phố,211,4,Chính Nam,8,2025,25.64
BDS_4949,Đà Nẵng,Đất nền,217,2,Chính Đông,2,2025,20.97
BDS_4950,Đà Nẵng,Chung cư,160,2,Đông Nam,3,2025,4.32
BDS_4951,Hà Nội,Biệt thự,275,2,Tây Nam,8,2024,73.98
BDS_4952,Hà Nội,Đất nền,320,3,Chính Đông,3,2026,25.96
BDS_4953,TP. Hồ Chí Minh,Nhà mặt phố,129,5,Tây Nam,2,2024,11.35
BDS_4954,TP. Hồ Chí Minh,Đất nền,293,3,Tây Bắc,12,2025,20.74
BDS_4955,TP. Hồ Chí Minh,Đất nền,122,3,Chính Nam,2,2025,14.32
BDS_4956,TP. Hồ Chí Minh,Nhà mặt phố,342,1,Tây Bắc,4,2025,46.79
BDS_4957,Hà Nội,Biệt thự,103,2,Đông Nam,8,2025,20.47
BDS_4958,TP. Hồ Chí Minh,Biệt thự,318,1,Tây Bắc,7,2025,95.31
BDS_4959,Hà Nội,Chung cư,96,3,Đông Nam,2,2025,3.68
BDS_4960,TP. Hồ Chí Minh,Chung cư,247,3,Đông Nam,3,2026,13.58
BDS_4961,TP. Hồ Chí Minh,Chung cư,112,4,Đông Nam,3,2025,6.87
BDS_4962,Hà Nội,Nhà mặt phố,260,1,Chính Nam,6,2025,49.06
BDS_4963,Hà Nội,Chung cư,263,1,Tây Bắc,10,2025,18.68
BDS_4964,TP. Hồ Chí Minh,Chung cư,132,3,Chính Đông,3,2025,10.86
BDS_4965,TP. Hồ Chí Minh,Biệt thự,243,1,Đông Nam,2,2025,65.83
BDS_4966,Hà Nội,Đất nền,183,5,Chính Nam,12,2025,17.42
BDS_4967,Bình Dương,Đất nền,190,2,Đông Nam,9,2025,16.43
BDS_4968,TP. Hồ Chí Minh,Biệt thự,57,3,Tây Nam,3,2025,12.2
BDS_4969,Bình Dương,Chung cư,210,5,Chính Đông,6,2025,5.36
BDS_4970,TP. Hồ Chí Minh,Nhà mặt phố,90,5,Tây Bắc,11,2024,13.31
BDS_4971,TP. Hồ Chí Minh,Chung cư,199,4,Chính Nam,11,2025,13.01
BDS_4972,Thái Nguyên,Nhà mặt phố,224,2,Đông Nam,5,2025,16.3
BDS_4973,TP. Hồ Chí Minh,Chung cư,285,5,Chính Đông,7,2025,19.89
BDS_4974,TP. Hồ Chí Minh,Chung cư,122,5,Tây Bắc,2,2025,6.47
BDS_4975,Hà Nội,Chung cư,331,4,Đông Nam,3,2025,16.56
BDS_4976,TP. Hồ Chí Minh,Nhà mặt phố,316,4,Chính Đông,1,2024,58.24
BDS_4977,Hà Nội,Biệt thự,343,5,Chính Nam,2,2025,70.79
BDS_4978,Hà Nội,Chung cư,300,2,Tây Nam,8,2025,12.47
BDS_4979,Hà Nội,Nhà mặt phố,136,3,Chính Đông,11,2025,22.99
BDS_4980,Hà Nội,Nhà mặt phố,273,1,Chính Đông,3,2026,26.98
BDS_4981,Bình Dương,Nhà mặt phố,127,1,Tây Bắc,9,2024,11.41
BDS_4982,Hà Nội,Biệt thự,327,5,Chính Đông,10,2024,72.74
BDS_4983,TP. Hồ Chí Minh,Chung cư,133,3,Đông Nam,5,2025,9.11
BDS_4984,Đà Nẵng,Chung cư,214,4,Chính Nam,1,2024,5.77
BDS_4985,TP. Hồ Chí Minh,Chung cư,43,1,Tây Nam,7,2025,2.91
BDS_4986,Hà Nội,Nhà mặt phố,113,5,Chính Nam,5,2025,10.07
BDS_4987,TP. Hồ Chí Minh,Chung cư,128,2,Tây Nam,7,2025,4.49
BDS_4988,TP. Hồ Chí Minh,Chung cư,94,3,Đông Nam,3,2025,7.32
BDS_4989,TP. Hồ Chí Minh,Đất nền,45,4,Đông Nam,2,2024,6.11
BDS_4990,TP. Hồ Chí Minh,Chung cư,237,1,Đông Nam,9,2025,9.69
BDS_4991,Bình Dương,Nhà mặt phố,199,3,Tây Bắc,3,2026,26.05
BDS_4992,TP. Hồ Chí Minh,Biệt thự,182,3,Đông Nam,6,2025,50.4
BDS_4993,Hà Nội,Nhà mặt phố,77,2,Tây Bắc,6,2025,11.97
BDS_4994,TP. Hồ Chí Minh,Nhà mặt phố,136,3,Chính Đông,3,2025,17.19
BDS_4995,Hà Nội,Chung cư,82,2,Tây Nam,8,2024,3.84
BDS_4996,Thái Nguyên,Nhà mặt phố,159,1,Đông Nam,6,2024,7.59
BDS_4997,Hà Nội,Đất nền,290,5,Tây Nam,7,2024,28.51
BDS_4998,Hà Nội,Đất nền,262,2,Chính Đông,9,2024,19.95
BDS_4999,Đà Nẵng,Nhà mặt phố,249,5,Tây Bắc,3,2024,18.1
BDS_5000,TP. Hồ Chí Minh,Đất nền,265,5,Tây Bắc,6,2024,28.83
BDS_5001,Hà Nội,Chung cư,138,3,Đông Nam,1,2026,10.75
BDS_5002,TP. Hồ Chí Minh,Chung cư,159,4,Chính Nam,1,2024,9.72
BDS_5003,Đà Nẵng,Đất nền,126,2,Tây Bắc,11,2024,5.3
BDS_5004,Hà Nội,Chung cư,69,2,Chính Đông,8,2025,4.85
BDS_5005,Đà Nẵng,Đất nền,105,4,Đông Nam,2,2026,8.15
BDS_5006,Hà Nội,Nhà mặt phố,198,2,Tây Bắc,12,2024,19.57
BDS_5007,TP. Hồ Chí Minh,Nhà mặt phố,276,5,Tây Bắc,2,2025,57.54
BDS_5008,Đà Nẵng,Đất nền,252,4,Tây Nam,3,2025,26.38
BDS_5009,Hà Nội,Đất nền,54,1,Tây Bắc,7,2024,5.52
BDS_5010,TP. Hồ Chí Minh,Đất nền,212,4,Tây Bắc,8,2024,25.4
BDS_5011,Hà Nội,Nhà mặt phố,113,1,Chính Nam,9,2024,15.97
BDS_5012,TP. Hồ Chí Minh,Nhà mặt phố,341,5,Tây Nam,3,2024,46.95
BDS_5013,TP. Hồ Chí Minh,Biệt thự,201,3,Chính Nam,3,2026,31.55
BDS_5014,TP. Hồ Chí Minh,Đất nền,99,5,Tây Nam,2,2025,13.59
BDS_5015,Hà Nội,Chung cư,152,4,Đông Nam,5,2026,7.63
BDS_5016,Hà Nội,Đất nền,173,4,Tây Nam,9,2025,16.96
BDS_5017,Hà Nội,Đất nền,224,3,Tây Bắc,11,2025,17.14
BDS_5018,Hà Nội,Nhà mặt phố,168,2,Tây Bắc,3,2026,28.61
BDS_5019,TP. Hồ Chí Minh,Nhà mặt phố,180,2,Chính Đông,2,2026,40.98
BDS_5020,Đà Nẵng,Nhà mặt phố,267,3,Tây Bắc,4,2025,18.58
BDS_5021,TP. Hồ Chí Minh,Chung cư,132,2,Chính Nam,3,2025,6.8
BDS_5022,TP. Hồ Chí Minh,Chung cư,101,4,Chính Đông,11,2025,6.98
BDS_5023,Bình Dương,Đất nền,110,1,Đông Nam,4,2026,7.73
BDS_5024,TP. Hồ Chí Minh,Nhà mặt phố,188,2,Chính Đông,3,2026,32.17
BDS_5025,Bình Dương,Chung cư,261,2,Chính Đông,12,2024,12.74
BDS_5026,TP. Hồ Chí Minh,Nhà mặt phố,81,2,Tây Bắc,11,2024,7.74
BDS_5027,Hà Nội,Chung cư,89,1,Đông Nam,1,2025,3.89
BDS_5028,Hà Nội,Đất nền,92,3,Chính Đông,3,2026,7.42
BDS_5029,TP. Hồ Chí Minh,Nhà mặt phố,218,5,Chính Nam,5,2024,41.7
BDS_5030,Hà Nội,Nhà mặt phố,115,5,Tây Nam,11,2025,19.0
BDS_5031,Hà Nội,Chung cư,323,3,Chính Đông,5,2025,25.89
BDS_5032,TP. Hồ Chí Minh,Đất nền,120,2,Chính Đông,5,2025,8.2
BDS_5033,TP. Hồ Chí Minh,Biệt thự,293,3,Đông Nam,1,2025,75.9
BDS_5034,TP. Hồ Chí Minh,Đất nền,156,1,Chính Đông,5,2025,20.11
BDS_5035,Hà Nội,Nhà mặt phố,157,5,Tây Nam,10,2024,25.08
BDS_5036,Hà Nội,Đất nền,312,3,Tây Nam,10,2024,20.98
BDS_5037,TP. Hồ Chí Minh,Chung cư,319,5,Chính Đông,8,2025,14.96
BDS_5038,Bình Dương,Chung cư,186,5,Chính Đông,1,2026,8.03
BDS_5039,TP. Hồ Chí Minh,Nhà mặt phố,216,3,Đông Nam,4,2026,40.26
BDS_5040,Bình Dương,Chung cư,320,2,Chính Nam,3,2025,7.17
BDS_5041,TP. Hồ Chí Minh,Chung cư,117,1,Đông Nam,5,2025,9.02
BDS_5042,TP. Hồ Chí Minh,Nhà mặt phố,348,5,Tây Bắc,3,2026,60.97
BDS_5043,Hà Nội,Nhà mặt phố,197,5,Đông Nam,2,2024,23.47
BDS_5044,TP. Hồ Chí Minh,Đất nền,173,4,Chính Nam,1,2025,19.23
BDS_5045,TP. Hồ Chí Minh,Chung cư,155,2,Tây Nam,11,2025,8.63
BDS_5046,TP. Hồ Chí Minh,Biệt thự,64,1,Chính Đông,10,2024,11.73
BDS_5047,TP. Hồ Chí Minh,Chung cư,226,5,Tây Nam,5,2024,9.84
BDS_5048,TP. Hồ Chí Minh,Nhà mặt phố,232,2,Tây Bắc,1,2024,30.59
BDS_5049,Hà Nội,Chung cư,246,1,Chính Nam,4,2024,15.56
BDS_5050,TP. Hồ Chí Minh,Nhà mặt phố,145,2,Chính Đông,5,2026,19.91
BDS_5051,Hà Nội,Biệt thự,229,1,Chính Đông,8,2025,49.0
BDS_5052,Đà Nẵng,Đất nền,260,4,Chính Nam,7,2025,21.81
BDS_5053,Hà Nội,Chung cư,96,4,Tây Nam,11,2025,4.95
BDS_5054,Hà Nội,Nhà mặt phố,57,4,Tây Bắc,5,2025,6.97
BDS_5055,TP. Hồ Chí Minh,Nhà mặt phố,121,1,Chính Nam,6,2025,22.74
BDS_5056,TP. Hồ Chí Minh,Chung cư,35,3,Chính Đông,6,2025,2.06
BDS_5057,TP. Hồ Chí Minh,Đất nền,289,4,Tây Bắc,1,2024,20.0
BDS_5058,Hà Nội,Chung cư,130,1,Đông Nam,12,2024,3.94
BDS_5059,TP. Hồ Chí Minh,Nhà mặt phố,127,3,Tây Bắc,11,2024,23.9
BDS_5060,Hà Nội,Chung cư,162,5,Đông Nam,11,2024,11.93
BDS_5061,Bình Dương,Chung cư,251,4,Tây Bắc,3,2024,9.46
BDS_5062,Bình Dương,Biệt thự,198,5,Tây Bắc,2,2024,28.63
BDS_5063,TP. Hồ Chí Minh,Chung cư,104,3,Tây Nam,8,2024,6.72
BDS_5064,Hà Nội,Chung cư,316,1,Đông Nam,4,2024,19.63
BDS_5065,TP. Hồ Chí Minh,Đất nền,93,3,Tây Nam,10,2024,9.63
BDS_5066,Hà Nội,Chung cư,219,2,Chính Nam,8,2025,9.59
BDS_5067,TP. Hồ Chí Minh,Nhà mặt phố,321,4,Đông Nam,3,2026,42.43
BDS_5068,Hà Nội,Nhà mặt phố,41,3,Đông Nam,5,2024,3.12
BDS_5069,Bình Dương,Biệt thự,117,5,Chính Nam,4,2026,23.84
BDS_5070,Hà Nội,Đất nền,112,3,Chính Nam,1,2024,14.26
BDS_5071,TP. Hồ Chí Minh,Biệt thự,256,3,Chính Đông,4,2024,38.19
BDS_5072,TP. Hồ Chí Minh,Nhà mặt phố,158,4,Chính Nam,2,2024,26.78
BDS_5073,TP. Hồ Chí Minh,Chung cư,35,2,Tây Nam,8,2025,2.75
BDS_5074,Hà Nội,Chung cư,343,1,Chính Đông,3,2026,22.99
BDS_5075,Bình Dương,Đất nền,49,2,Tây Bắc,3,2025,2.2
BDS_5076,TP. Hồ Chí Minh,Nhà mặt phố,150,4,Tây Bắc,6,2024,25.12
BDS_5077,TP. Hồ Chí Minh,Chung cư,41,2,Tây Nam,1,2024,1.31
BDS_5078,Hà Nội,Biệt thự,39,3,Tây Bắc,12,2025,11.97
BDS_5079,TP. Hồ Chí Minh,Chung cư,333,1,Chính Đông,3,2025,16.94
BDS_5080,TP. Hồ Chí Minh,Nhà mặt phố,37,3,Chính Đông,10,2025,6.61
BDS_5081,Hà Nội,Đất nền,32,1,Tây Nam,3,2026,4.85
BDS_5082,Hà Nội,Đất nền,78,1,Chính Đông,8,2024,10.45
BDS_5083,Đà Nẵng,Chung cư,143,2,Đông Nam,5,2024,7.33
BDS_5084,Hà Nội,Nhà mặt phố,267,4,Đông Nam,5,2024,24.63
BDS_5085,Hà Nội,Chung cư,196,5,Tây Nam,3,2026,14.48
BDS_5086,TP. Hồ Chí Minh,Nhà mặt phố,96,2,Chính Đông,12,2025,13.38
BDS_5087,TP. Hồ Chí Minh,Nhà mặt phố,268,5,Tây Bắc,7,2025,23.43
BDS_5088,Hà Nội,Đất nền,63,4,Tây Bắc,3,2026,5.65
BDS_5089,TP. Hồ Chí Minh,Chung cư,179,3,Tây Nam,6,2025,11.05
BDS_5090,Hà Nội,Đất nền,81,4,Chính Đông,5,2024,7.44
BDS_5091,Hà Nội,Đất nền,296,4,Tây Nam,10,2025,38.95
BDS_5092,Hà Nội,Nhà mặt phố,223,2,Tây Bắc,3,2026,29.43
BDS_5093,Đà Nẵng,Chung cư,217,4,Tây Nam,12,2025,7.25
BDS_5094,Hà Nội,Chung cư,309,4,Tây Bắc,8,2024,21.9
